hit_type,company_name,country,zip_code,city,federal_state,website,booth,profile_url,profile_title,profile_meta_description,profile_headings,website_home_url,website_home_title,website_home_meta_description,website_home_headings,website_about_url,website_about_title,website_about_meta_description,website_about_headings,score,priority_band,category,subcategory,matched_keywords,negative_keywords,country_priority_bucket,country_priority_boost,outreach_angle,website_fetch_error
Exhibitor,vombaur GmbH & Co. KG,Germany,42369,Wuppertal,North Rhine-Westphalia,http://www.vombaur.de,"Hall 17, Stand G41, (6)",https://www.hannovermesse.de/exhibitor/vombaur/N1568420,HANNOVER MESSE Exhibitor 2026: vombaur,"Your development partner  In the beginning there is always your project: because your plans and objectives give us the concrete specifications for properties, load-bearing capacity and functionality of our narrow textiles.  Our objective: a seamless solution for your project.  As unique as the projects of our customers are, as unique are our solutions. We develop and manufacture our textiles and composites to perfectly fit the respective application. Depending on what your component has to achieve, we select and combine the materials, the woven fabric type, the weaving technique and the finishing. And always with view to achieving highest quality. We often take totally new, innovative approaches. We see ourselves as your partner – and as pioneers. For unique textile engineering solutions. Perfect fit. Process assured. Seamless.",,https://vombaur.de/,vombaur pioneering tech tex - vombaur,vombaur pioneering tech tex -,"SEAMLESS SOLUTIONS | FILTRATION TEXTILES | COMPOSITE TEXTILES | INDUSTRIAL TEXTILES | WELCHES PROJEKT PLANEN SIE? » ZUR PROJEKT-ANFRAGE | NEWS | Spiralbänder für den Leichtbau – Fahrradfelgen | Leistungsfähige Textilien, hohe Prozesssicherheit",https://vombaur.de/das-unternehmen/,DAS UNTERNEHMEN - vombaur,DAS UNTERNEHMEN -,"HIGHTECH-TEXTILIEN UND COMPOSITES | Ihr Entwicklungspartner | Netzwerk und Partner | Qualität | Nahtlose Lösungen, nahtlose Prozesse | Unsere Geschichte | Unsere Geschichte",46,A,manufacturer_target,composites_textiles_materials,"composite, composites, fabric, textile, woven",,priority_europe,6,"Discuss synthetic-data-driven inspection for composites, fabrics, nonwovens, laminates, or lightweight materials.",
Exhibitor,Laser Galicia S.L.,Spain,36400,O Porrino,,https://www.lasergalicia.com,"Hall 17, Stand D26",https://www.hannovermesse.de/exhibitor/laser-galicia/N1610859,HANNOVER MESSE Exhibitor 2026: Laser Galicia,"Laser Galicia is a precision manufacturer of customised sheet metal works and fabrications in carbon steel, stainless steel, aluminum, copper and brass up to 30mm.  Our capabilities include flat and tubular laser cutting, CNC bending, robot bending, manual and robot welding, assembling and surface treatments.  We are committed to the highest quality standards being an UNE EN ISO 9001:2015, IATF 16949:2015, UNE EN 9100:2015, EN 1090-2/3:2009 (EXC3), EN ISO 3834-2, EWF certified, ISO 45001:2018, UNE EN ISO 14001:2015, DIN 2303 certified company.  We supply a wide variety of sectors worldwide including food the sector, agricultural, automotive, construction, renewables, industrial automation, amongst others.",,https://lasergalicia.com/,Laser Galicia » Corte de precisión por láser,"Our technical capabilities, our vast experience and our wide material stock allow us to fully perform the most complex projects.",Corte por láser en Galicia. Especialistas en corte de precisión | Corte de chapa por láser | Corte de tubo por láser | Plegado de chapa | Soldadura | A la vanguardia en el corte por láser | Lo que marca la diferencia | Tu socio para soluciones de corte por láser y soluciones metálicas a medida,https://lasergalicia.com/en/about-us/,About us » Laser Galicia,"Since 2002 we have been offering a FAST, FLEXIBLE and RELIABLE service, thanks to the latest technology and the best human team.",Get to know us better | We are national references in laser cutting | Mission | Values | Customers-oriented | Respect | Reliability | Quality and flexibility,43,A,manufacturer_target,flat_metal_products,"aluminum, automation, copper, metal, sheet, sheet metal, stainless, steel",,priority_europe,6,"Discuss inline surface defect inspection and component verification for sheet, strip, plate, or coil-like products.",
Exhibitor,LiCoMo GmbH,Germany,04720,Großweitzschen,Saxony,http://www.licomo.org,"Hall 17, Stand B40/1",https://www.hannovermesse.de/exhibitor/licomo/N1537094,HANNOVER MESSE Exhibitor 2026: LiCoMo,"LiCoMo GmbH is specialized in the production of components and parts made from fiber-reinforced composites (carbon, glass, and aramid fibers based on thermosets or thermoplastics). Our products include the following components: composite sheets and plates (GFRP, CFRP, etc.), CFRP/GFRP sandwich panels, housings, tubes, shafts, sleeves, supports, profiles, winding support rings, insulating rings, pressure rings, containment vessels, pressure vessels, and components for hydraulic cylinders. Based on high-performance fiber-reinforced composites, we manufacture high-performance products tailored to our customers' needs. We support our customers along the entire value chain, from the initial idea, concept and development pahse up to manufacturing of the components as well as the qualification of the materials and components.",,https://www.licomo.org/de/,Home - Lightweight Composites Mochau,,"Leichtbau-Komponenten aus Faserverbundwerkstoffen | Leicht - Stabil - Zuverlässig | Die LiCoMo GmbH: Ihr Spezialist für Fertigungsaufgaben im Bereich Faserverbundkunststoffe | Unser Produktportfolio | * Platten * Druckbehälter * Profile / Hülsen / Ringe / Rohre / Wellen * Sonderlösungen * | Die LiCoMo GmbH ist spezialisiert auf die Herstellung von Bauteilen aus Faserverbundwerkstoffen (CFK, GFK, AFK u.a.). Auf der Basis von Hochleistungs-Faserverbundwerkstoffen fertigen wir leistungsfähige Produkte nach Ihren Bedürfnissen / Anforderungen. Wir unterstützen Sie entlang der kompletten Wertschöpfungskette von der Konzeption über die Entwicklung bis zur Fertigung und Qualifikation des Materials sowie der Bauteile. | News - LiCoMo | Neue Wickelmaschine für FILAMENT WINDING in Betrieb genommen",,,,,42,A,manufacturer_target,composites_textiles_materials,"cfrp, composite, composites, fiber-reinforced, filament winding, gfrp, lightweight, sandwich panels",,priority_europe,6,"Discuss synthetic-data-driven inspection for composites, fabrics, nonwovens, laminates, or lightweight materials.",
Exhibitor,Mario Fernando Group Srl,Italy,25065,Lumezzane Gazzolo,,https://www.mariofernando.com,"Hall 17, Stand A16",https://www.hannovermesse.de/exhibitor/mario-fernando/N1476393,HANNOVER MESSE Exhibitor 2026: Mario Fernando,"We are an Italian company specialized in the cold deformation of sheet metal, in particular stainless steel and aluminium.  Our company has over 60 years of experience in the designing and construction of high-quality dies; we can realize dies for drawing, deep drawing, bending, trimming and blanking, offering at the same time the series production of metal stamped parts. As we work according to customer drawings, we are able to offer a complete personalization of products.  We added to our machine park a 2D, 3D laser cutting and welding machine. Our company is certified according to ISO 9001:2015 and IATF 16949:2016.",,https://www.mariofernando.com/index.php?lang=it,Mario Fernando Group s.r.l. - Home,,Qualunque sia il vostro obiettivo noi siamo il vostro punto di partenza | Qualunque sia il vostro obiettivo noi siamo il vostro punto di partenza | Qualunque sia il vostro obiettivo noi siamo il vostro punto di partenza,https://www.mariofernando.com/index.php?lang=it,Mario Fernando Group s.r.l. - Home,,Qualunque sia il vostro obiettivo noi siamo il vostro punto di partenza | Qualunque sia il vostro obiettivo noi siamo il vostro punto di partenza | Qualunque sia il vostro obiettivo noi siamo il vostro punto di partenza,42,A,manufacturer_target,flat_metal_products,"aluminium, blanking, metal, sheet, sheet metal, stainless, steel",,priority_europe,6,"Discuss inline surface defect inspection and component verification for sheet, strip, plate, or coil-like products.",
Exhibitor,H. P. Kaysser GmbH + Co. KG,Germany,71397,Leutenbach,Baden-Wurttemberg,http://www.kaysser.de,"Hall 26, Stand E98, (3)",https://www.hannovermesse.de/exhibitor/h-p-kaysser/N1606274,HANNOVER MESSE Exhibitor 2026: H.P. Kaysser,"H.P. Kaysser GmbH + Co. KG, based in Nellmersbach near Stuttgart, is one of the leading companies in the field of metal and sheet metal processing, with around 450 employees. The family-run, medium-sized solution provider develops and produces ready-to-install parts ranging from simple sheet metal components to highly complex assemblies equipped with electronics. Highly qualified experts process steel, cast iron, stainless steel, non-ferrous metals and aluminium in all variations on 38,000 m². The fully air-conditioned machining technology competence centre produces assemblies and large parts for demanding projects and customers. Decades of expertise as a certified welding company guarantee the precise execution of individual welding orders and enable welded constructions weighing up to 15 tonnes. H.P. Kaysser is a partner for demanding industrial customers from a wide range of industries and also acts as a development and strategy partner.",,https://www.kaysser.de/,Metallverarbeitung - präzise Systemlösungen | H.P. Kaysser,Metallverarbeitung mit Präzisions- & Qualitätsversprechen ➤ über 70 Jahre Know-How ✔ international tätig ✔ ⭐ Top-bewertet ✔ Jetzt anfragen!,In Metall daheim – in Ihrer Branche zuhause Wir setzen Maßstäbe für alle Branchen – von A wie Automatisierungstechnik bis Z wie Zulieferindustrie. Zur Branchenübersicht | In Metall daheim – in Ihrer Branche zuhause | H.P. Kaysser – Systemlösungen in Metall | Hannover Messe 2026 #HM26 | Die Basis für individuell passende Systemlösungen | Über 75 Jahre Leidenschaft für Metall | Von Metallverarbeitung bis Baugruppenmontage | Zertifizierte und nachhaltige Metallbearbeitung sind unsere Leidenschaft,https://www.kaysser.de/unternehmen/historie,Unternehmensgeschichte | H.P. Kaysser,Begleiten Sie uns vom Kleinbetrieb zum mittelständischen Allrounder in der Metallbearbeitung ► Jetzt mehr erfahren!,Über 75 Jahre Know-how in der Metallbearbeitung Mit Pioniergeist und Mut wurde aus der Werkstatt im Hinterhof eines der führenden mittelständischen Unternehmen im Bereich der Blechbearbeitung. | Über 75 Jahre Know-how in der Metallbearbeitung | Vom Kleinbetrieb zum mittelständischen Allrounder | Führungswechsel bei H.P. Kaysser | H.P. Kaysser erhält Wirtschaftsmedaille | LernFabrik – 20 Jahre wegweisende Ausbildung | Vom Brennzuschnitt dickerer Bleche bis zur XL-Schweißkonstruktion | H.P. Kaysser feiert Jubiläum,40,A,manufacturer_target,flat_metal_products,"aluminium, metal, metal processing, sheet, sheet metal, stainless, steel",,priority_europe,6,"Discuss inline surface defect inspection and component verification for sheet, strip, plate, or coil-like products.",
Exhibitor,CompoSpring GmbH,Germany,67596,Dittelsheim-Heßloch,Rhineland Palatinate,https://www.compospring.com,"Hall 11, Stand C30",https://www.hannovermesse.de/exhibitor/compospring/N1612349,HANNOVER MESSE Exhibitor 2026: CompoSpring,"CompoSpring GmbH develops and manufactures high‑performance fiber‑composite springs for demanding industrial applications. The company combines deep materials expertise with advanced simulation and precise manufacturing to deliver springs that are lighter, corrosion‑free, energy‑efficient, and exceptionally durable. CompoSpring supports customers in mechanical engineering, automotive, robotics, and medical technology in reducing weight, increasing performance, and unlocking new design possibilities. As a technology‑driven company, CompoSpring emphasizes innovation, quality, and collaborative partnerships—from early concept development through prototyping to series production. With a clear focus on sustainability and efficiency, CompoSpring sets new standards for the next generation of industrial spring technology.",,https://compospring.de/en/,CompoSpring,Innovative lightweight springs made of FRP for high-performance-applications.,"Lightly into the future | Advantages over conventional steel springs… | Advance developments | High-performance spring accumulator for numerous applications | Passion for springs! | Breaking new ground, finding sustainable solutions | „Fully Charged Show“ | Passion for the fiberglass spring: „Car Maniac“",https://compospring.de/en/company/,Company - CompoSpring,"We are We do We work We are We are a medium-sized, owner-managed company with the material of the future in our luggage: fiber-plastic composites (FRP). The name says it all for almost 15 years. Innovation is an essential instrument of entrepreneurial success. We want to develop, find solutions, are open to flexible product design,",We are | We do | We work,38,A,manufacturer_target,composites_textiles_materials,"composite, composites, fiberglass, frp, lightweight, robotics, steel",,priority_europe,6,"Discuss synthetic-data-driven inspection for composites, fabrics, nonwovens, laminates, or lightweight materials.",
Exhibitor,SANXO-SYSTEMS Finn-Magyar Méréstechnikai és Automatizálási Kf,Hungary,1221,Budapest,,https://www.sanxo.eu,"Hall 17, Stand F58",https://www.hannovermesse.de/exhibitor/sanxo-systems/N1611502,HANNOVER MESSE Exhibitor 2026: SANXO-Systems,"SANXO-Systems Ltd is a technology company that develops and delivers advanced hardware and software solutions in the fields of digital microscopy, machine vision, and robotic automation.  A core area of the company’s expertise is in digital industrial microscopes, especially the SANXO-Scope series, which are designed for high-quality magnified imaging, measurement, and inspection tasks. In addition to microscopy, SANXO provides machine vision systems that include industrial cameras, optics, lighting, and custom software to automate inspection and quality control processes in manufacturing. Its machine vision solutions are used to reduce labor costs, increase accuracy, and support automated guidance of robots on production lines.",,https://sanxo.eu/,"SANXO-Systems Ltd. | Digital microscopes, machine vision and robot application solutions","SANXO-Systems Ltd. is a growing technological company in Hungary. 10+ year experience in digital microscopes, MV and robotics. Find an innovative solution!",Digital microscope | Robotics | New concept of AOI system | Continuous innovation | Online support | Innovative Solutions | Digital microscope | Machine Vision systems,https://sanxo.eu/news-about-sanxo/,News: press releases & exhibitions | SANXO,"Read about our newest press releases and exhibitions. News about SANXO Group, microscopy, MV, AOI and robotics. Check it out!",News about Sanxo,37,A,partner_target,inspection_hardware_or_metrology,"automation, inspection, machine vision, measurement, quality control, robotic, robotics",,priority_europe,6,"Explore integration with manual or semi-automated inspection hardware, sensors, or metrology equipment.",
Exhibitor,MS ProTech s.r.o.,Czech Republic,569 07,Radimer,,http://www.ms-protech.cz,"Hall 26, Stand G84",https://www.hannovermesse.de/exhibitor/ms-pro-tech/N1574947,HANNOVER MESSE Exhibitor 2026: MS Pro Tech,"We are a dynamically developing Czech family company that specializes in the supply of tailor-made machine components produced via CNC machining, sheet metal processing and complete installation of machine assemblies. We provide high-quality parts produced according to design documentation and the customer’s exact needs. We focus on the small or middle-lot production of milled, turned and ground components. We produce welded structures – working with stainless steel is our speciality. We also carry out the mechanical assembly of machines, including hydraulic, pneumatic and linear systems, and electrical components, as the client requires.",,https://ms-protech.cz/,Zakázková strojní výroba - MS ProTech,MS ProTech se specializuje na zakázkovou výrobu a komplexní služby ve strojírenství. To vše díky nejmodernějším technologiím a týmu zkušených profesionálů.,Mluvíme vaší řečí | Nejmodernější technologie | Kvalita pod kontrolou | Ukázka našich výrobků,https://ms-protech.cz/en/about-the-company/,About the Company - MS ProTech,MS ProTech is a family-run company dedicated to the production of machine parts. We use years of experience and technological innovations to achieve perfect results.,About the Company | MS ProTech – Summary | Our Values | Our Vision | History | Important Milestones | Life in MS ProTech,36,A,manufacturer_target,flat_metal_products,"metal, metal processing, sheet, sheet metal, stainless, steel",,priority_europe,6,"Discuss inline surface defect inspection and component verification for sheet, strip, plate, or coil-like products.",
Exhibitor,"Alphacast Co., Ltd.",Taiwan,33858,Taoyuan,,https://www.alphacast.co.th,"Hall 17, Stand A21",https://www.hannovermesse.de/exhibitor/alphacast/N1572524,HANNOVER MESSE Exhibitor 2026: Alphacast,"Since 1989, Alphacast has been a trusted global provider of investment casting and sheet metal fabrication solutions, headquartered in Taiwan with advanced facilities in Thailand.  We specialize in lost wax casting of stainless steel and other special alloys. Stamping capabilities range from small presses up to 1,000-ton machines. We also offer total solution for composite parts. With ISO 9001, ISO 14001, and IATF 16949 certifications, Alphacast delivers compliant components and reliable OEM solutions to leading brands worldwide, including Europe, the United States, and Japan.",,https://www.alphacast.co.th/,ALPHACAST,,ALPHACAST | A Leading MMS (Metal Manufacturing Services) Company Offering Total Solutions | ABOUT US | INVESTMENT CASTING | SHEET METAL STAMPING,https://www.alphacast.co.th/about.php,ALPHACAST,,ABOUT ALPHACAST | ABOUT US | HISTORY | GREEN ENVIRONMENT | CERTIFICATE,35,B,manufacturer_target,composites_textiles_materials,"composite, metal, sheet, sheet metal, stainless, stamping, steel",,,0,"Discuss synthetic-data-driven inspection for composites, fabrics, nonwovens, laminates, or lightweight materials.",
Exhibitor,Steel Products Aage Østergaard A/S,Denmark,8700,Horsens,,https://steelproducts.de/,"Hall 26, Stand E98, (32)",https://www.hannovermesse.de/exhibitor/steel-products/N1610883,HANNOVER MESSE Exhibitor 2026: Steel Products,"Steel Products a/s has been acting as a subsuplier for more than 30 years. During the course of these years we have increased our know-how within a large majority of processes within the sheet metal industry. This enables the organisation to offer the customers optimal and cost effective solutions to fabricate increasingly complex components.  The capacities, capabilities and the great flexibility within the organisation is due to the extensive automation of production sites. This has greatly enhanced the competitiveness of the organisation as a subcontractor. We are specialists in cold forming of complex stainless steel components, and the production sites are completely equipped for this purpose in-house.  We are experienced in supplying to the automitive industry.  We sell compititiveness and look forward to be challenged by your next project.",,https://steelproducts.de/,Startseite - Steel Products,"Steel Products ist Ihr Lieferant für maßgeschneiderte Metallbearbeitung. Wir können Tiefziehen, Kaltfließpressen, Rollformen und vieles mehr.",Möchten Sie eine umweltfreundlichere Lösung | Möchten Sie Teil des Teams werden | Mit welchem Prozess können wir Ihnen helfen? | Gesamtlieferant | Unsere kunden finden uns ganz ok! | Wir brauchen dich!,https://steelproducts.de/ledelse/,Unternehmensleitung - Steel Products,Hier unsere Geschäftsleitung im Überblick. Wenden Sie sich an die entsprechende Person und erhalten Sie Antworten auf Ihre Fragen.,Kontaktpersonen der Unternehmensleitung | Gesamtlieferant,35,B,manufacturer_target,flat_metal_products,"automation, metal, sheet, sheet metal, stainless, steel",,priority_europe,6,"Discuss inline surface defect inspection and component verification for sheet, strip, plate, or coil-like products.",
